08/14/23 10:19:48 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:49 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1072) - No such process
08/14/23 10:19:49 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1072) - No such process
08/14/23 10:19:49 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:50 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1106) - No such process
08/14/23 10:19:50 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1106) - No such process
08/14/23 10:19:50 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:51 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1135) - No such process
08/14/23 10:19:51 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1135) - No such process
08/14/23 10:19:51 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:52 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1154) - No such process
08/14/23 10:19:52 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1154) - No such process
08/14/23 10:19:52 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:53 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1297) - No such process
08/14/23 10:19:53 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1297) - No such process
08/14/23 10:19:53 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:54 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1336) - No such process
08/14/23 10:19:54 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1336) - No such process
08/14/23 10:19:54 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:55 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1354) - No such process
08/14/23 10:19:55 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1354) - No such process
08/14/23 10:19:55 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:56 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1371) - No such process
08/14/23 10:19:56 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1371) - No such process
08/14/23 10:19:56 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:57 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1388) - No such process
08/14/23 10:19:57 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1388) - No such process
08/14/23 10:19:57 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:58 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1405) - No such process
08/14/23 10:19:58 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1405) - No such process
08/14/23 10:19:58 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:19:59 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1422) - No such process
08/14/23 10:19:59 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1422) - No such process
08/14/23 10:19:59 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:00 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1449) - No such process
08/14/23 10:20:00 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1449) - No such process
08/14/23 10:20:00 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:01 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (1651) - No such process
08/14/23 10:20:01 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (1651) - No such process
08/14/23 10:20:01 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:02 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (2288) - No such process
08/14/23 10:20:02 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (2288) - No such process
08/14/23 10:20:02 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:05 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (2608) - No such process
08/14/23 10:20:05 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (2608) - No such process
08/14/23 10:20:05 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:06 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (2923) - No such process
08/14/23 10:20:06 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (2923) - No such process
08/14/23 10:20:06 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:07 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (3222) - No such process
08/14/23 10:20:07 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (3222) - No such process
08/14/23 10:20:07 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:08 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (3522) - No such process
08/14/23 10:20:08 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (3522) - No such process
08/14/23 10:20:08 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:09 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (3844) - No such process
08/14/23 10:20:09 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (3844) - No such process
08/14/23 10:20:09 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:10 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (4163) - No such process
08/14/23 10:20:10 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (4163) - No such process
08/14/23 10:20:10 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:11 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (4484) - No such process
08/14/23 10:20:11 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 52: kill: (4484) - No such process
08/14/23 10:20:11 EST -0500 | tcpdump: can't parse filter expression: syntax error
08/14/23 10:20:12 EST -0500 | /home/ubuntu/miscellaneous/gateways/system-monitors/network-interface-monitor.sh: line 47: kill: (4803) - No such process
